1558013387.413:348026654,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,EXECUTE,0,nginx -v
1558013387.413:348026655,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,908C1871-9556-355C-9695-1D084C35A52A,/etc/libmap.conf
1558013387.413:348026656,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,READ,908C1871-9556-355C-9695-1D084C35A52A,/etc/libmap.conf
1558013387.413:348026658,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,738B7C9F-D3EE-6A5F-AED3-FF407F6A7609,/var/run/ld-elf.so.hints
1558013387.413:348026659,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,READ,738B7C9F-D3EE-6A5F-AED3-FF407F6A7609,/var/run/ld-elf.so.hints
1558013387.413:348026660,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,READ,738B7C9F-D3EE-6A5F-AED3-FF407F6A7609,/var/run/ld-elf.so.hints
1558013387.413:348026662,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,DBE56166-8DF5-D156-B58D-41C346D11FAC,/lib/libthr.so.3
1558013387.413:348026672,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,72F1B0DA-370B-B850-8B37-097B90B864E6,/lib/libcrypt.so.5
1558013387.413:348026682,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,0DD03410-B9E9-6752-A9B9-FF2D7267DB7F,/usr/local/lib/libpcre.so.1
1558013387.413:348026692,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,A9331079-AB10-8656-90AB-7E5E76860DF4,/usr/lib/libssl.so.111
1558013387.413:348026702,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,B1E1F342-C4A9-8950-A9C4-792D4089BF48,/lib/libcrypto.so.111
1558013387.413:348026712,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,91258993-B942-C35D-82B9-25794DC34401,/lib/libz.so.6
1558013387.413:348026722,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,680AFF23-5240-8954-8052-DB7044890360,/lib/libc.so.7
1558013387.413:348026739,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3:nginx,OPEN,F410BE96-4C0C-765E-8C4C-6F0E2E760020,/dev/hpet0
1558013387.413:348026802,AB728037-77DE-11E9-B41B-D4AE52C1DBD3:bash,FORK,ACA05A5C-77DE-11E9-B41B-D4AE52C1DBD3,null
