,host,detection_timestamp,Compromised Process,Inter_process,SYSCALL_2,detection_details,threat_Score,certainity_Score
0,Victim3,2021-04-10T12:20:36.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655bfc-9da8-11eb-8492-000c2969045d,EXECUTE,/usr/bin/whoami,2.0,10.0
1,Victim3,2021-04-10T12:20:38.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655bfe-9da8-11eb-8492-000c2969045d,EXECUTE,/sbin/ifconfig,2.0,10.0
2,Victim3,2021-04-10T12:20:28.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655bfa-9da8-11eb-8492-000c2969045d,EXECUTE,/bin/ls,2.0,10.0
3,Victim3,2021-04-10T12:20:59.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655c06-9da8-11eb-8492-000c2969045d,EXECUTE,/bin/ping,2.0,10.0
4,Victim3,2021-04-10T12:20:46.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655c00-9da8-11eb-8492-000c2969045d,EXECUTE,/usr/bin/id,2.0,10.0
5,Victim3,2021-04-10T12:20:50.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655c02-9da8-11eb-8492-000c2969045d,EXECUTE,/bin/hostname,2.0,10.0
6,Victim3,2021-04-10T12:20:52.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655c04-9da8-11eb-8492-000c2969045d,EXECUTE,/bin/uname,2.0,10.0
7,Victim3,2021-04-10T12:20:28.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash:e9655bee-9da8-11eb-8492-000c2969045d,EXECUTE,/usr/bin/lesspipe,2.0,10.0
8,Victim3,2021-04-10T12:20:46.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/usr/bin/id,READ,/etc/nsswitch.conf,2.0,10.0
9,Victim3,2021-04-10T12:20:28.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash,READ,/etc/nsswitch.conf,2.0,10.0
10,Victim3,2021-04-10T12:20:36.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/usr/bin/whoami,READ,/etc/nsswitch.conf,2.0,10.0
11,Victim3,2021-04-10T12:20:28.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash,READ,/etc/bash.bashrc,2.0,10.0
12,Victim3,2021-04-10T12:20:28.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash,READ,/etc/init.d/,2.0,10.0
13,Victim3,2021-04-10T12:20:28.000000000,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,/bin/bash,READ,/etc/bash_completion.d/apport_completion,2.0,10.0
