,host,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
0,ta1-trace,2018-04-10T09:55:50.000000000-04:00,/usr/sbin/sshd:B306B504-C5DF-3A22-586A-632DCF8BF814,CONNECT,0.0.0.0:22,5.0,10.0
1,ta1-trace,2018-04-10T09:55:58.000000000-04:00,/usr/sbin/sshd:7725600B-B425-5474-FEE7-F4B826354A2C,CONNECT,0.0.0.0:22,5.0,10.0
2,ta1-trace,2018-04-10T09:56:08.000000000-04:00,/usr/sbin/sshd:3497EA2F-5AB9-8B5B-EBCF-EE2D8237F984,CONNECT,0.0.0.0:22,5.0,10.0
3,ta1-trace,2018-04-10T09:57:19.000000000-04:00,/usr/sbin/sshd:251A3E47-9CAA-E57F-7C85-859E1E1FE2B0,CONNECT,0.0.0.0:22,5.0,10.0
4,ta1-trace,2018-04-10T09:57:25.000000000-04:00,/usr/sbin/sshd:D0DD340C-9226-ECF2-2A3C-4DBB441E8AA5,CONNECT,0.0.0.0:22,5.0,10.0
5,ta1-trace,2018-04-10T09:58:39.000000000-04:00,/usr/sbin/sshd:EC538D66-A9ED-E192-E2F1-4FECEA551A92,CONNECT,0.0.0.0:22,5.0,10.0
6,ta1-trace,2018-04-10T09:58:48.000000000-04:00,/usr/sbin/sshd:0ABFEF94-701B-0182-0602-FBBCCA4910DB,CONNECT,0.0.0.0:22,5.0,10.0
7,ta1-trace,2018-04-10T09:58:49.000000000-04:00,/bin/bash:9F9E9C14-EBA4-FA4D-B1B8-B14E94B1146F,CONNECT,83.150.97.73:80,5.0,10.0
8,ta1-trace,2018-04-10T09:58:54.000000000-04:00,/usr/sbin/sshd:45167FA6-C587-94A1-DA3F-FBFEF74A8E88,CONNECT,0.0.0.0:22,5.0,10.0
9,ta1-trace,2018-04-10T09:58:56.000000000-04:00,/usr/sbin/sshd:754081C1-C4B8-E0C8-24B8-7888CFC9D735,CONNECT,0.0.0.0:22,5.0,10.0
10,ta1-trace,2018-04-10T09:59:04.000000000-04:00,/usr/sbin/sshd:50D0F2B5-BF88-4F55-12D9-3463ABD383A5,CONNECT,0.0.0.0:22,5.0,10.0
11,ta1-trace,2018-04-10T09:59:19.000000000-04:00,/usr/sbin/sshd:EBAAC898-F3C7-0852-D5DD-2F695A70957E,CONNECT,0.0.0.0:22,5.0,10.0
12,ta1-trace,2018-04-10T10:01:23.000000000-04:00,/usr/sbin/sshd:319E3A0D-1B40-DA65-4665-C851571C8626,CONNECT,0.0.0.0:22,5.0,10.0
13,ta1-trace,2018-04-10T10:01:57.000000000-04:00,/usr/sbin/sshd:CB65EC2A-8B9C-33D6-B93C-6E8B6CDB14DF,CONNECT,0.0.0.0:22,5.0,10.0
14,ta1-trace,2018-04-10T10:02:05.000000000-04:00,/usr/sbin/sshd:82AB37BB-5192-2697-E0F1-22FE7EE8BAD3,CONNECT,0.0.0.0:22,5.0,10.0
15,ta1-trace,2018-04-10T10:18:35.000000000-04:00,/usr/sbin/sshd:9EE4438D-6752-5AEE-8807-55C6A8480603,CONNECT,0.0.0.0:22,5.0,10.0
16,ta1-trace,2018-04-10T10:19:12.000000000-04:00,/usr/sbin/sshd:55809F96-C13E-9BD0-BD27-69EAFBBDF738,CONNECT,0.0.0.0:22,5.0,10.0
17,ta1-trace,2018-04-10T10:19:20.000000000-04:00,/usr/sbin/sshd:E6F4832B-AF93-5C69-0492-F80FDFC96D57,CONNECT,0.0.0.0:22,5.0,10.0
18,ta1-trace,2018-04-10T10:19:27.000000000-04:00,/usr/sbin/sshd:E71419E3-95D6-00B1-6720-11E6C41CEC6D,CONNECT,0.0.0.0:22,5.0,10.0
19,ta1-trace,2018-04-10T10:19:51.000000000-04:00,/usr/sbin/sshd:60A9DE6A-4DA2-AF1E-D12C-10F0B16BADC6,CONNECT,0.0.0.0:22,5.0,10.0
20,ta1-trace,2018-04-10T10:19:54.000000000-04:00,/usr/sbin/sshd:F95481BA-566A-A725-C693-2E9083BE0F48,CONNECT,0.0.0.0:22,5.0,10.0
21,ta1-trace,2018-04-10T11:08:36.000000000-04:00,/usr/sbin/sshd:CFD6902F-FCFD-95B8-F0F1-2A57809EE0F4,CONNECT,0.0.0.0:22,5.0,10.0
22,ta1-trace,2018-04-10T11:10:44.000000000-04:00,/usr/lib/firefox/firefox:32EE84BD-4302-252D-C17A-D88DE60EE27C,CONNECT,67.28.122.168:80,5.0,10.0
23,ta1-trace,2018-04-10T11:10:45.000000000-04:00,/usr/lib/firefox/firefox:32EE84BD-4302-252D-C17A-D88DE60EE27C,CONNECT,67.28.122.168:80,5.0,10.0
24,ta1-trace,2018-04-10T11:10:45.000000000-04:00,/usr/lib/firefox/firefox:32EE84BD-4302-252D-C17A-D88DE60EE27C,CONNECT,206.16.45.70:80,5.0,10.0
25,ta1-trace,2018-04-10T11:10:45.000000000-04:00,/usr/lib/firefox/firefox:32EE84BD-4302-252D-C17A-D88DE60EE27C,CONNECT,63.236.111.50:80,5.0,10.0
