1558103966.441:505904298,91EF8875-78B1-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,B8FFD54B-E634-C156-B4E6-8D03E6C1084F,scp -r /tmp/grains /tmp/hsperfdata_darpa /tmp/jna-95354950 /tmp/minion /tmp/nodeexporter /tmp/resource-2679455198775069532 /tmp/resource-3259361836296904187 /tmp/tmux-0 admin@128.55.12.77:.,ta1-cadets-2
1558103966.441:505904297,91DBEE38-78B1-11E9-B41B-D4AE52C1DBD3:bash,FORK,91EF8875-78B1-11E9-B41B-D4AE52C1DBD3,bash,ta1-cadets-2
1558103966.441:505904295,91DBEE38-78B1-11E9-B41B-D4AE52C1DBD3:bash,OPEN,26B028D3-213B-2C56-BB21-5235562CB9A5,/tmp/,ta1-cadets-2
1558103966.331:505904254,91DBEE38-78B1-11E9-B41B-D4AE52C1DBD3:bash,READ,F8B93608-AF5F-335F-9FAF-A23AAF33A52E,/home/admin/.bash_history,ta1-cadets-2
1558103966.331:505904250,91DBEE38-78B1-11E9-B41B-D4AE52C1DBD3:bash,READ,F8B93608-AF5F-335F-9FAF-A23AAF33A52E,/home/admin/.bash_history,ta1-cadets-2
1558103966.331:505904208,91DBEE38-78B1-11E9-B41B-D4AE52C1DBD3:bash,FORK,91DE83C9-78B1-11E9-B41B-D4AE52C1DBD3,null,ta1-cadets-2
1558103966.311:505904175,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3:sshd,FORK,91DBEE38-78B1-11E9-B41B-D4AE52C1DBD3,bash,ta1-cadets-2
1558103966.131:505904108,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,75C6B2C2-4B61-F450-A14B-A77FC0F45172,/etc/login.conf,ta1-cadets-2
1558103966.131:505904106,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,48E7AE8E-A074-F555-B4A0-2052C5F58A74,/home/admin/.login_conf,ta1-cadets-2
1558103966.131:505904099,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,75C6B2C2-4B61-F450-A14B-A77FC0F45172,/etc/login.conf,ta1-cadets-2
1558103966.131:505904097,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,48E7AE8E-A074-F555-B4A0-2052C5F58A74,/home/admin/.login_conf,ta1-cadets-2
1558103966.131:505904087,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,F5A81F19-1907-7454-8719-281FF474EA17,/etc/group,ta1-cadets-2
1558103966.131:505904085,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,FORK,91BFE97E-78B1-11E9-B41B-D4AE52C1DBD3,sshd,ta1-cadets-2
1558103966.121:505904075,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,A901490D-1FA2-AF50-A21F-868A70AFC6E2,/etc/security/audit_event,ta1-cadets-2
1558103966.121:505904074,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,D44C2740-A6DD-2056-9DA6-2C2E86207843,/etc/security/audit_control,ta1-cadets-2
1558103966.121:505904070,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,D44C2740-A6DD-2056-9DA6-2C2E86207843,/etc/security/audit_control,ta1-cadets-2
1558103966.121:505904068,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,D6BFF2A5-44AC-4D5D-AC44-0959ED4DC0F8,/etc/security/audit_class,ta1-cadets-2
1558103966.121:505904067,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,D8F507F7-4B0E-C952-8E4B-830F52C98AFF,/etc/security/audit_user,ta1-cadets-2
1558103966.121:505904058,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,CONNECT,91BEC036-78B1-11E9-B41B-D4AE52C1DBD3,/var/run/logpriv,ta1-cadets-2
1558103966.001:505903985,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,FORK,91AD3CE7-78B1-11E9-B41B-D4AE52C1DBD3,null,ta1-cadets-2
1558103966.001:505903980,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,CONNECT,91AD1C57-78B1-11E9-B41B-D4AE52C1DBD3,/var/run/logpriv,ta1-cadets-2
1558103966.001:505903978,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,75C6B2C2-4B61-F450-A14B-A77FC0F45172,/etc/login.conf,ta1-cadets-2
1558103965.991:505903972,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,F36EC5A4-EE55-8855-95EE-424395884C3D,/usr/lib/pam_unix.so.6,ta1-cadets-2
1558103965.991:505903967,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,5F5D4650-B585-1256-85B5-0F0B16120B00,/usr/lib/pam_permit.so.6,ta1-cadets-2
1558103965.991:505903962,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,F36EC5A4-EE55-8855-95EE-424395884C3D,/usr/lib/pam_unix.so.6,ta1-cadets-2
1558103965.991:505903957,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,5108317C-59BA-245A-BA59-DDB76A243440,/usr/lib/pam_login_access.so.6,ta1-cadets-2
1558103965.991:505903952,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,09823C55-578E-9450-8E57-7C7090940A81,/usr/lib/pam_nologin.so.6,ta1-cadets-2
1558103965.991:505903947,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,E05AD5A8-E187-E35D-87E1-C0CEEDE3D310,/usr/lib/libypclnt.so.4,ta1-cadets-2
1558103965.991:505903944,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,F36EC5A4-EE55-8855-95EE-424395884C3D,/usr/lib/pam_unix.so.6,ta1-cadets-2
1558103965.991:505903939,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,709926E8-26FC-495E-BC26-07EABE498DBF,/usr/lib/pam_opieaccess.so.6,ta1-cadets-2
1558103965.991:505903933,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,EFCC799A-BA9A-D150-9ABA-287680D1CE20,/lib/libmd.so.6,ta1-cadets-2
1558103965.991:505903931,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,E5BE02A8-1A59-045B-991A-504E5B04464E,/usr/lib/libopie.so.8,ta1-cadets-2
