,host,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
0,theia,2018-04-10T14:25:32.000000000-04:00,/usr/bin/fluxbox:8B161C29-0000-0000-0000-000000000020,CONNECT,61.130.69.232:80,5.0,10.0
1,theia,2018-04-10T14:31:22.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,CONNECT,141.43.176.203:80,5.0,10.0
2,theia,2018-04-10T14:31:22.000000000-04:00,/home/admin/Downloads/firefox/firefox:4E18B22A-0000-0000-0000-000000000020,CONNECT,146.153.68.151:80,5.0,10.0
3,theia,2018-04-10T14:35:30.000000000-04:00,/home/admin/clean:6818A92B-0000-0000-0000-000000000020,CONNECT,161.116.88.72:80,5.0,10.0
4,theia,2018-04-10T14:48:59.000000000-04:00,/bin/bash:C51DCB2E-0000-0000-0000-000000000020,CONNECT,83.150.97.73:80,5.0,10.0
5,theia,2018-04-10T14:54:16.000000000-04:00,/usr/bin/fluxbox:7F1FD92F-0000-0000-0000-000000000020,CONNECT,141.43.176.203:80,5.0,10.0
6,theia,2018-04-10T14:54:16.000000000-04:00,/home/admin/Downloads/firefox/firefox:C21F0F30-0000-0000-0000-000000000020,CONNECT,146.153.68.151:80,5.0,10.0
7,theia,2018-04-10T14:56:39.000000000-04:00,/home/admin/profile:FB1F9E30-0000-0000-0000-000000000020,CONNECT,161.116.88.72:80,5.0,10.0
8,theia,2018-04-10T18:12:10.000000000-04:00,/bin/bash:3357695E-0000-0000-0000-000000000020,CONNECT,162.99.3.50:80,5.0,10.0
9,theia,2018-04-11T09:10:50.000000000-04:00,/bin/bash:63230931-0100-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
10,theia,2018-04-11T09:10:58.000000000-04:00,/bin/bash:63230931-0100-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
11,theia,2018-04-11T10:23:52.000000000-04:00,/bin/bash:A9362742-0100-0000-0000-000000000020,CONNECT,216.87.162.115:80,5.0,10.0
12,theia,2018-04-11T10:50:10.000000000-04:00,/bin/bash:FA425248-0100-0000-0000-000000000020,CONNECT,162.99.3.50:80,5.0,10.0
13,theia,2018-04-11T11:14:08.000000000-04:00,/bin/bash:084CF04D-0100-0000-0000-000000000020,CONNECT,69.20.49.234:80,5.0,10.0
