,host,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
0,Victim3,2021-04-10T12:21:28.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,127.0.1.1:53,5.0,10.0
1,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,127.0.1.1:53,5.0,10.0
2,Victim3,2021-04-10T12:13:18.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,127.0.1.1:53,5.0,10.0
3,Victim3,2021-04-10T12:13:15.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,127.0.1.1:53,5.0,10.0
4,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,34.192.53.143:0,5.0,10.0
5,Victim3,2021-04-10T12:13:18.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,0.0.0.0:0,5.0,10.0
6,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,0.0.0.0:0,5.0,10.0
7,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,52.200.54.65:0,5.0,10.0
8,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,3.211.216.81:0,5.0,10.0
9,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,34.203.15.45:0,5.0,10.0
10,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,54.147.76.56:0,5.0,10.0
11,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,54.164.169.143:0,5.0,10.0
12,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,3.215.209.232:0,5.0,10.0
13,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,52.20.179.133:0,5.0,10.0
14,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,34.120.5.221:0,5.0,10.0
15,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,52.20.179.133:443,5.0,10.0
16,Victim3,2021-04-10T12:13:14.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,34.120.5.221:443,5.0,10.0
17,Victim3,2021-04-10T12:13:15.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,34.120.237.76:0,5.0,10.0
18,Victim3,2021-04-10T12:13:15.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,34.120.237.76:443,5.0,10.0
19,Victim3,2021-04-10T12:13:18.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,13.225.189.61:0,5.0,10.0
20,Victim3,2021-04-10T12:13:18.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,13.225.189.93:0,5.0,10.0
21,Victim3,2021-04-10T12:13:18.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,13.225.189.57:0,5.0,10.0
22,Victim3,2021-04-10T12:13:18.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,13.225.189.124:0,5.0,10.0
23,Victim3,2021-04-10T12:18:13.000000000-04:00,/bin/bash:bda7aaa5-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:4455,5.0,10.0
24,Victim3,2021-04-10T12:21:18.000000000-04:00,/bin/bash:c0517e0e-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:4455,5.0,10.0
25,Victim3,2021-04-10T12:15:27.000000000-04:00,/bin/bash:b9e2c9c2-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:4455,5.0,10.0
26,Victim3,2021-04-10T12:23:13.000000000-04:00,/bin/bash:c7e435ea-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:4455,5.0,10.0
27,Victim3,2021-04-10T12:20:28.000000000-04:00,/bin/bash:c0517df0-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:4455,5.0,10.0
28,Victim3,2021-04-10T12:20:59.000000000-04:00,/bin/ping:c0517e0a-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:1025,5.0,10.0
29,Victim3,2021-04-10T12:21:28.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,172.217.13.106:443,5.0,10.0
30,Victim3,2021-04-10T12:21:28.000000000-04:00,/usr/lib/firefox/firefox:b329917b-9a1b-11eb-8492-000c2969045d,CONNECT,172.217.13.106:0,5.0,10.0
31,Victim3,2021-04-10T12:28:37.000000000-04:00,/usr/bin/ssh:ca198709-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:22,5.0,10.0
32,Victim3,2021-04-10T12:27:17.000000000-04:00,/usr/bin/ssh:c8eaab6f-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:22,5.0,10.0
33,Victim3,2021-04-10T12:28:12.000000000-04:00,/usr/bin/ssh:c8eaab7d-9a1b-11eb-8492-000c2969045d,CONNECT,192.168.8.134:22,5.0,10.0
