1557844902.943:1745123329,5B0599A5-693C-CDB3-7205-E54ADA8B261A:firefox,SENDMSG,0A933D34-7D1B-6B51-4441-236C24C5C128,72.5.238.22:80,ta1-trace-2
1557844902.939:1745123265,88BBC129-6AAE-FEC3-FA89-B5385CF99D5A:firefox,CONNECT,0A933D34-7D1B-6B51-4441-236C24C5C128,72.5.238.22:80,ta1-trace-2
1557844902.939:1745123264,BDAF8639-2D98-9A2B-C319-F9A13F7892A3:Socket Thread,CONNECT,0220305E-E31B-5D2C-9EE1-95CCCD25AD97,128.55.12.10:53,ta1-trace-2
1557844902.939:1745123259,BDAF8639-2D98-9A2B-C319-F9A13F7892A3:Socket Thread,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557844902.939:1745123255,BDAF8639-2D98-9A2B-C319-F9A13F7892A3:Socket Thread,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557844902.423:1745097366,6EDCD206-8FC4-78B8-21BF-D6BCD5AFD4B6:mandb,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.423:1745097266,330458CD-6144-4D09-4901-D94C1C0625EE:perl,EXECUTE,6EDCD206-8FC4-78B8-21BF-D6BCD5AFD4B6,mandb,ta1-trace-2
1557844902.423:1745097265,CC203F8C-0FAA-9F2D-A8EB-C8D1175DF675:perl,CHANGE_PRINCIPAL:setuid,330458CD-6144-4D09-4901-D94C1C0625EE,perl,ta1-trace-2
1557844902.423:1745097264,3D8BC440-5AF4-748A-1BF3-A7378DD3AB24:perl,CHANGE_PRINCIPAL:setgid,CC203F8C-0FAA-9F2D-A8EB-C8D1175DF675,perl,ta1-trace-2
1557844902.423:1745097259,3D8BC440-5AF4-748A-1BF3-A7378DD3AB24:perl,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557844902.423:1745097256,3D8BC440-5AF4-748A-1BF3-A7378DD3AB24:perl,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.419:1745097148,1213E0CA-DDBE-FA80-21D7-5EDA0BA927E0:man-db.postinst,EXECUTE,3D8BC440-5AF4-748A-1BF3-A7378DD3AB24,perl,ta1-trace-2
1557844902.419:1745097146,6A0B6681-D762-0DA9-4F06-953E3E393F13:man-db.postinst,FORK,1213E0CA-DDBE-FA80-21D7-5EDA0BA927E0,man-db.postinst,ta1-trace-2
1557844902.419:1745097125,DBA31376-13B3-3CBA-7001-13EFC09AA43C:dpkg,EXECUTE,6A0B6681-D762-0DA9-4F06-953E3E393F13,man-db.postinst,ta1-trace-2
1557844902.419:1745097124,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,FORK,DBA31376-13B3-3CBA-7001-13EFC09AA43C,dpkg,ta1-trace-2
1557844902.415:1745097111,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.399:1745097014,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.399:1745097012,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.375:1745096471,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.323:1745096116,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.323:1745096109,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.323:1745096096,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.323:1745096089,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.323:1745096065,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745096051,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745096038,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745096007,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745096000,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745095987,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745095980,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745095973,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745095966,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.319:1745095959,C8B7FB13-F5EA-A0DE-4EEC-4044AAB428F6:dpkg,MMAP,C406BDFF-6FF7-CAB2-51C9-D0DF7DC17E3C,/etc/passwd,ta1-trace-2
1557844902.315:1745095869,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.307:1745095840,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.299:1745095836,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.299:1745095835,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.291:1745095281,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.287:1745094719,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.283:1745094169,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.267:1745093602,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.259:1745093046,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.251:1745092487,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.247:1745091930,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.239:1745091371,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.227:1745090818,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.199:1745090364,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.199:1745090360,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.199:1745090359,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.199:1745090356,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
1557844902.199:1745090353,9AE41E3B-3E23-59F1-FF55-5CA326EEC9FE:sshd,WRITE,7E78DFC1-00E8-EE69-7FEA-0EE11E82B215,128.55.12.122:50884,ta1-trace-2
