host,source,threat_Score
cadets,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,27.29086354198342
cadets,wget:286AC9D5-3940-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:28FC317D-3910-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,25.14731661691083
cadets,wget:3AC51C96-399B-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,29.434410467056004
cadets,wget:496CEAF3-39A3-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,wget:536EF59E-392D-11E8-BF66-D9AA8AFF4A69,100.74670547841149
cadets,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,33.72150431720117
cadets,wget:5E4DC13C-39AD-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:6974CDF3-390E-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,wget:6ECFAF1D-39A1-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:717AD91A-3900-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:7EF1A57D-39A9-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,wget:859E2771-39A5-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,wget:8EE37B83-39A8-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:AB8A00C0-39B2-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,wget:C04FCF96-39AB-11E8-BF66-D9AA8AFF4A69,11519.421175339445
cadets,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,27.29086354198342
cadets,wget:C2C3CE53-39A9-11E8-BF66-D9AA8AFF4A69,12.861281550435518
cadets,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,235.21491527402475
cadets,wget:EDDB24CC-3903-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,wget:FFCB6EDF-39B3-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
