host,stage,detection_timestamp,source,SYSCALL,Intermediate_process,detection_details,threat_Score,certainity_Score
cadets,4,2018-04-05T13:36:02.000000000-04:00,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,...,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-05T16:15:27.000000000-04:00,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,...,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T09:09:38.000000000-04:00,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,...,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T09:20:23.000000000-04:00,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,...,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T09:28:14.000000000-04:00,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,...,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T09:41:30.000000000-04:00,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,...,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T11:31:52.000000000-04:00,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,...,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-06T11:31:53.000000000-04:00,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,...,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-06T11:23:15.000000000-04:00,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,...,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-06T11:31:53.000000000-04:00,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,...,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,READ  /etc/group,12.286035066475314,10.0
cadets,4,2018-04-06T11:31:52.000000000-04:00,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,...,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,READ  /etc/group,12.286035066475314,10.0
cadets,4,2018-04-06T12:04:57.000000000-04:00,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,...,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-06T11:33:56.000000000-04:00,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,...,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-06T11:47:34.000000000-04:00,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,...,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-06T15:53:48.000000000-04:00,wget:38D870A9-39D4-11E8-B8CE-15D78AC88FB6,...,wget:38D870A9-39D4-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T16:31:49.000000000-04:00,wget:882934C8-39D9-11E8-B8CE-15D78AC88FB6,...,wget:882934C8-39D9-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T17:11:08.000000000-04:00,wget:06687053-39DF-11E8-B8CE-15D78AC88FB6,...,wget:06687053-39DF-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-06T19:03:00.000000000-04:00,wget:A6F7C1BE-39EE-11E8-B8CE-15D78AC88FB6,...,wget:A6F7C1BE-39EE-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,...,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
