host,stage,detection_timestamp,source,SYSCALL,Intermediate_process,detection_details,threat_Score,certainity_Score
cadets,4,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,...,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-07T17:06:40.000000000-04:00,wget:9144BCC2-3AA7-11E8-B8CE-15D78AC88FB6,...,wget:9144BCC2-3AA7-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-07T19:37:33.000000000-04:00,wget:A4DC1608-3ABC-11E8-B8CE-15D78AC88FB6,...,wget:A4DC1608-3ABC-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-08T10:16:40.000000000-04:00,wget:750AE752-3B37-11E8-B8CE-15D78AC88FB6,...,wget:750AE752-3B37-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-08T13:18:26.000000000-04:00,wget:D992EC4E-3B50-11E8-B8CE-15D78AC88FB6,...,wget:D992EC4E-3B50-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-08T14:12:14.000000000-04:00,wget:5D25EE48-3B58-11E8-B8CE-15D78AC88FB6,...,wget:5D25EE48-3B58-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-08T17:10:19.000000000-04:00,wget:3E4DFC8F-3B71-11E8-B8CE-15D78AC88FB6,...,wget:3E4DFC8F-3B71-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-08T18:23:51.000000000-04:00,wget:83CEC05E-3B7B-11E8-B8CE-15D78AC88FB6,...,wget:83CEC05E-3B7B-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-09T10:07:13.000000000-04:00,wget:4D16B4CE-3BFF-11E8-B8CE-15D78AC88FB6,...,wget:4D16B4CE-3BFF-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-11T09:54:13.000000000-04:00,wget:D115DB94-3D8F-11E8-B8CE-15D78AC88FB6,...,wget:D115DB94-3D8F-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-11T10:01:45.000000000-04:00,wget:DE6DF4D3-3D90-11E8-B8CE-15D78AC88FB6,...,wget:DE6DF4D3-3D90-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-11T11:01:10.000000000-04:00,wget:2B6A697C-3D99-11E8-B8CE-15D78AC88FB6,...,wget:2B6A697C-3D99-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-11T15:01:28.000000000-04:00,wget:BD434917-3DBA-11E8-B8CE-15D78AC88FB6,...,wget:BD434917-3DBA-11E8-B8CE-15D78AC88FB6,READ  /etc/hosts,12.286035066475314,10.0
cadets,4,2018-04-11T15:13:12.000000000-04:00,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,...,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-11T15:08:53.000000000-04:00,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,...,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-11T15:13:11.000000000-04:00,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,...,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-11T15:08:44.000000000-04:00,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,...,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,READ  /etc/passwd,12.286035066475314,10.0
cadets,4,2018-04-11T15:08:53.000000000-04:00,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,...,nginx:2720E25F-39BE-11E8-B8CE-15D78AC88FB6,READ  /etc/group,12.286035066475314,10.0
