host,stage,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,CONNECT,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,CONNECT,207.46.73.59:80,2.1435469250725863,10.0
cadets,1,2018-04-07T11:44:40.000000000-04:00,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,READ,207.46.73.60:80,2.1435469250725863,10.0
