host,stage,source,threat_Score
cadets,1,links:45FBA95D-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:4C3D2E47-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:516267F2-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:5D3EED61-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:6158B2CA-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:66720642-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:C413D852-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,links:DEE00AB7-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,nginx:001D5779-3698-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,1,nginx:001D6360-3698-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,1,nginx:5280C224-3905-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,1,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,16.27979608197709
cadets,1,ping:BD81EA33-3907-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,1,ping:C7404666-3907-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,1,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,14.136249156904505
cadets,1,wget:06687053-39DF-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,17.14837540058069
cadets,1,wget:166171FC-39DB-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:286AC9D5-3940-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:28FC317D-3910-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:2A302171-3A80-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,17.14837540058069
cadets,1,wget:3773111F-39DB-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:38D870A9-39D4-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:3AC51C96-399B-11E8-BF66-D9AA8AFF4A69,10.717734625362931
cadets,1,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,21.43546925072586
cadets,1,wget:496CEAF3-39A3-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,1,wget:536EF59E-392D-11E8-BF66-D9AA8AFF4A69,150.04828475508108
cadets,1,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,25.722563100871028
cadets,1,wget:5E4DC13C-39AD-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:6974CDF3-390E-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,1,wget:6ECFAF1D-39A1-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:717AD91A-3900-11E8-BF66-D9AA8AFF4A69,6.430640775217759
