host,stage,detection_timestamp,source,SYSCALL,Intermediate_process,detection_details,threat_Score,certainity_Score
cadets,7,2018-04-12T14:00:53.000000000-04:00,nginx:11C64B2C-3DC3-11E8-A5CA-3FA3753A265A,...,,nginx SENDMSG /tmp/grain,21.030864518443156,10.0
cadets,7,2018-04-12T14:08:26.000000000-04:00,nginx:11C64B2C-3DC3-11E8-A5CA-3FA3753A265A,...,,nginx SENDMSG /tmp/tmux-1002,21.030864518443156,10.0
cadets,7,2018-04-12T14:19:04.000000000-04:00,nginx:11C64B2C-3DC3-11E8-A5CA-3FA3753A265A,...,,nginx SENDMSG /tmp/font,21.030864518443156,10.0
cadets,7,2018-04-12T14:28:20.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /var/log/sendmail,21.030864518443156,10.0
cadets,7,2018-04-12T14:22:12.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/XIM,21.030864518443156,10.0
cadets,7,2018-04-12T14:29:35.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/main,21.030864518443156,10.0
cadets,7,2018-04-12T14:24:22.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /var/log/netlog,21.030864518443156,10.0
cadets,7,2018-04-12T14:22:08.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/minion,21.030864518443156,10.0
cadets,7,2018-04-12T14:38:36.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/test,21.030864518443156,10.0
cadets,7,2018-04-12T14:28:20.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /var/log/sendmail,21.030864518443156,10.0
cadets,7,2018-04-12T14:22:12.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/XIM,21.030864518443156,10.0
cadets,7,2018-04-12T14:29:35.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/main,21.030864518443156,10.0
cadets,7,2018-04-12T14:24:22.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /var/log/netlog,21.030864518443156,10.0
cadets,7,2018-04-12T14:22:08.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/minion,21.030864518443156,10.0
cadets,7,2018-04-12T14:38:36.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/test,21.030864518443156,10.0
cadets,7,2018-04-12T14:28:20.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /var/log/sendmail,21.030864518443156,10.0
cadets,7,2018-04-12T14:22:12.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/XIM,21.030864518443156,10.0
cadets,7,2018-04-12T14:29:35.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/main,21.030864518443156,10.0
cadets,7,2018-04-12T14:24:22.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /var/log/netlog,21.030864518443156,10.0
cadets,7,2018-04-12T14:22:08.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/minion,21.030864518443156,10.0
cadets,7,2018-04-12T14:38:36.000000000-04:00,XIM:48289024-3E7E-11E8-A5CB-3FA3753A265A,...,,XIM SENDMSG /tmp/test,21.030864518443156,10.0
