host,stage,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
ta1-trace,1,2018-04-10T09:58:49.000000000-04:00,/bin/bash:9F9E9C14-EBA4-FA4D-B1B8-B14E94B1146F,CONNECT,83.150.97.73:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T09:58:49.000000000-04:00,/bin/bash:9F9E9C14-EBA4-FA4D-B1B8-B14E94B1146F,READ,83.150.97.73:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:EE8A1149-6FF0-053F-B60A-EB754BAC9B7C,CONNECT,167.127.109.21:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:0759F87D-B910-8576-80CB-4BAA1999C123,CONNECT,167.127.109.21:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:6BDA43D2-435E-6F05-A99A-E1217F27E4CB,CONNECT,167.127.109.21:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:0A743CDB-3ABB-B24C-3821-DCCE82C9DCB6,CONNECT,66.155.171.116:443,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:981D5BCF-A785-984F-6FCB-57D2A22ED795,CONNECT,66.155.171.116:443,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:50B6A6F8-A5CA-C1F4-5947-87B8A1CFBB9A,CONNECT,66.155.171.116:443,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:CAD5157E-98CD-73BD-14E3-FE27F8A7E266,CONNECT,66.155.171.116:443,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:44.000000000-04:00,firefox:BB9381B1-FD8F-0E27-542E-136F7C0AF9BB,CONNECT,216.73.86.152:443,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:11:45.000000000-04:00,firefox:54325B0B-627C-E828-12C3-78C6800B2CCB,CONNECT,64.154.82.76:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:37.000000000-04:00,firefox:E95D7989-51A8-8BE7-E722-4825D08A108C,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:37.000000000-04:00,firefox:C856AC73-6750-D1C9-D960-A34A1EE8E878,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:37.000000000-04:00,firefox:B5162BC6-6E22-6F8C-47A7-88C5232E0451,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:7AE1B7DC-EDFB-B757-C56A-0FD46AB3755B,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:7B198039-C907-1E99-799E-25D4A8B0EBD2,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:F4B6A1B3-5595-8927-69A5-B4E10E9670E1,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:F4B6A1B3-5595-8927-69A5-B4E10E9670E1,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:F4B6A1B3-5595-8927-69A5-B4E10E9670E1,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:F4B6A1B3-5595-8927-69A5-B4E10E9670E1,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:8FF88769-C5A1-56E2-290C-47EC5106BEA9,CONNECT,66.150.139.21:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:739C8E3F-E357-3915-F41A-B4A47ED81CE2,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
ta1-trace,1,2018-04-10T10:12:38.000000000-04:00,firefox:D557AC56-5F13-6870-DF0A-8C22483122FB,CONNECT,162.97.114.199:80,2.1435469250725863,10.0
